domain,company,tier,tier_confidence,score_75,score_ceiling,unretrieved_signals,evidence_tier,est_mark,est_retrieval,est_window,est_sentence,est_pain_postings_12m,est_pain_postings_alltime,postings_searched,requisitions_searched,hir_mark,hir_retrieval,hir_window,mdb_mark,mdb_retrieval,mrg_mark,mrg_retrieval,ver_gate,age_gate,scl_gate,acc_gate,cohort,founded_year,employees,ownership_type,latest_round,total_funding,hq,industry,source_islands,notes
freedompay.com,FreedomPay,3,FIRM - all four signals retrieved,27.5,75.0,,"B - estate measured, no qualifying sentence",EST○,"roster hand-read, pre-pull",2026-09-02..2026-09-02 (n=3 postings in repo),,,,,,HIR◐,"roster hand-read, pre-pull",2026-09-02..2026-09-02 (n=3 postings in repo),MDB?,MongoDB enrichment: no evidence string,MRG●,Origami firmographics: private_equity,VER●,AGE●,SCL◐,ACC◐,B — sponsor mandate,2000,595,PE-owned,private_equity,32450000,"Philadelphia, United States",IT Services and IT Consulting,cost-test-9;roster-31,margin/sponsor trigger confirmed; **MongoDB UNKNOWN — detector returned no primary database**
fresha.com,Fresha,UNSCORED,"UNSCOREABLE - ceiling 35, below the Tier 2 line",15.0,35.0,EST;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR●,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,"funding stage only (SERIES_C | 80000000 | 2026-05-21) - capital gate passed by construction, not a margin event",VER?,AGE?,SCL?,ACC?,,2015,753,PRIVATELY_HELD,SERIES_C | 80000000 | 2026-05-21,299040904,"London, England, London, England, United Kingdom, Europe",software development,c1-fresh-pull-56,
honeybook.com,HoneyBook,UNSCORED,"UNSCOREABLE - ceiling 35, below the Tier 2 line",0.0,35.0,EST;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,"funding stage only (SERIES_E | 250000000 | 2021-11-03) - capital gate passed by construction, not a margin event",VER?,AGE?,SCL?,ACC?,,2013,316,PRIVATELY_HELD,SERIES_E | 250000000 | 2021-11-03,498000000,"San Francisco, California, 539 Bryant Street, Suite 200, San Francisco, California, United States, North America",software development,c1-fresh-pull-56,
hotelengine.com,Engine (formerly Hotel Engine),3,FIRM - all four signals retrieved,10.0,75.0,,"B - estate measured, no qualifying sentence",EST○,"job-postings pull, 44 domains, 12-month window",no qualifying posting; 4 postings / 3 requisitions searched,,0,0,4,3,HIR○,"job-postings pull, 44 domains, recency-windowed",no qualifying posting; 4 postings / 3 requisitions searched,MDB○,MongoDB enrichment: no evidence string,MRG◐,"funding stage only (SERIES_C) - capital gate passed by construction, not a margin event",VER●,AGE?,SCL●,ACC●,"D — watchlist, no trigger",,449,,SERIES_C,221000000,,,roster-31,firmographics only — no trigger; `AGE?` Founded Year blank · **re-measured by the 04-09 pull**
housecallpro.com,Housecall Pro,2,FIRM - all four signals retrieved,50.0,75.0,,"A - named pain, sentence on file",EST●,"job-postings pull, 44 domains, 12-month window","qualifying posting 2026-08-14; 36 pain postings in 12m of 56 all-time, across 76 requisitions","ad or sponsor key platform initiatives such as API gateway evolution, authentication/authorization integrations, system decomposition - Mentor and coach engineers on API design, distributed systems and platform thinking - help grow senior talent around",36,56,106,76,HIR●,"job-postings pull, 44 domains, recency-windowed","qualifying posting 2026-08-14; 36 pain postings in 12m of 56 all-time, across 76 requisitions",MDB○,MongoDB enrichment: no evidence string,MRG◐,"funding stage only (SERIES_D) - capital gate passed by construction, not a margin event",VER●,AGE●,SCL●,ACC●,"D — watchlist, no trigger",2013,1660,,SERIES_D,175049995,,,roster-31,firmographics only — no trigger · **re-measured by the 04-09 pull**
icapital.com,iCapital,3,FIRM - all four signals retrieved,27.5,75.0,,"B - estate measured, no qualifying sentence",EST○,"job-postings pull, 44 domains, 12-month window",no qualifying posting; 2 postings / 1 requisitions searched,,0,0,2,1,HIR○,"job-postings pull, 44 domains, recency-windowed",no qualifying posting; 2 postings / 1 requisitions searched,MDB◑,MongoDB enrichment: job postings only,MRG●,Origami firmographics: PRIVATE_EQUITY_ROUND,VER●,AGE●,SCL●,ACC◐,C — re-score as M1,2013,2122,,PRIVATE_EQUITY_ROUND,1549210871,"New York, New York",,roster-31,"margin/sponsor trigger confirmed; **legacy relational co-present**; *job-posting evidence only*; **`MDB◑` — MongoDB appears only as one slug in a 317-entry job-advert aggregate; the product-stack detector returned nothing. Half credit, and direction is unknowable from this source** · **re-measured by the 04-09 pull**"
id.me,ID.me,1,FIRM - all four signals retrieved,65.0,75.0,,"A - named pain, sentence on file",EST●,"job-postings pull, 44 domains, 12-month window","qualifying posting 2026-07-29; 7 pain postings in 12m of 12 all-time, across 73 requisitions",experience operating at this scale and leading infrastructure through significant transformation—especially moving from monoliths to scalable microservices and platform/API architectures. Our current team is shifting from reactive support to p,7,12,85,73,HIR●,"job-postings pull, 44 domains, recency-windowed","qualifying posting 2026-07-29; 7 pain postings in 12m of 12 all-time, across 73 requisitions",MDB●,MongoDB enrichment: product stack,MRG◐,"funding stage only (SERIES_E) - capital gate passed by construction, not a margin event",VER◐,AGE●,SCL●,ACC✕,"D — watchlist, no trigger",2010,1180,,SERIES_E,814250500,"Mclean, Virginia",,roster-31,"access obstacle flagged; **legacy relational co-present**; MongoDB confirmed — **direction unverified, no requisition on file** · **re-measured by the 04-09 pull**"
integral.com,Integral Development Corp.,UNSCORED,"UNSCOREABLE - ceiling 35, below the Tier 2 line",0.0,35.0,EST;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,"funding stage only (VENTURE_ROUND | 30000000 | 2024-01-25) - capital gate passed by construction, not a margin event",VER?,AGE?,SCL?,ACC?,,1993,326,PRIVATELY_HELD,VENTURE_ROUND | 30000000 | 2024-01-25,96000000,"Palo Alto, California, 380 Portage Ave, Palo Alto, California, United States, North America",software development,c1-fresh-pull-56,
italki.com,italki,3,CANNOT REACH TIER 1 - ceiling 40,0.0,40.0,MRG;MDB,"B - estate measured, no qualifying sentence",EST?,"job-postings pull, 44 domains, 12-month window",no qualifying posting; 0 postings / 0 requisitions searched,,0,0,0,0,HIR?,"job-postings pull, 44 domains, recency-windowed",no qualifying posting; 0 postings / 0 requisitions searched,MDB?,NOT RETRIEVED,MRG?,NOT RETRIEVED,VER?,AGE?,SCL?,ACC?,,2007,4282,PRIVATELY_HELD,,,"Madrid, Spain (Europe)",MARKETPLACE,consolidation-19,
itilite.com,ITILITE,3,PROVISIONAL - ceiling 60,0.0,60.0,MDB,"B - estate measured, no qualifying sentence",EST?,"job-postings pull, 44 domains, 12-month window",no qualifying posting; 0 postings / 0 requisitions searched,,0,0,0,0,HIR?,"job-postings pull, 44 domains, recency-windowed",no qualifying posting; 0 postings / 0 requisitions searched,MDB?,NOT RETRIEVED,MRG?,"funding stage only (SERIES_C) - capital gate passed by construction, not a margin event",VER?,AGE?,SCL?,ACC?,,2017,460,PRIVATELY_HELD,SERIES_C,46271725,"2093a Philadelphia Pike, Suite 224, Claymont, Delaware, United States, North America",FINTECH/PAYMENTS/TRAVEL/VERTICAL-SAAS,consolidation-19,
jobandtalent.com,Job&Talent,3,PROVISIONAL - ceiling 60,0.0,60.0,MDB,"B - estate measured, no qualifying sentence",EST⊗,"job-postings pull, 44 domains, 12-month window",no qualifying posting; 1 postings / 1 requisitions searched,,0,0,1,1,HIR○,"job-postings pull, 44 domains, recency-windowed",no qualifying posting; 1 postings / 1 requisitions searched,MDB?,NOT RETRIEVED,MRG?,"funding stage only (SERIES_F) - capital gate passed by construction, not a margin event",VER?,AGE?,SCL?,ACC?,,2009,3987,PRIVATELY_HELD,SERIES_F,1726511177,"Paseo de la Castellana, 93, 4º Planta, Madrid, Madrid, Spain, Europe",LOGISTICS/MOBILITY,consolidation-19,
jobnimbus.com,JobNimbus,UNSCORED,"UNSCOREABLE - ceiling 35, below the Tier 2 line",20.0,35.0,EST;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG●,Origami firmographics: PRIVATE_EQUITY_ROUND | 330000000 | 2024-11-13,VER?,AGE?,SCL?,ACC?,,2011,283,PRIVATELY_HELD,PRIVATE_EQUITY_ROUND | 330000000 | 2024-11-13,383000000,"Lehi, Utah, 3451 W Triumph Blvd, Suite 650, Lehi, Utah, United States, North America",software development,c1-fresh-pull-56,
joinblvd.com,Boulevard,UNSCORED,"UNSCOREABLE - ceiling 35, below the Tier 2 line",0.0,35.0,EST;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,"funding stage only (SERIES_D | 80000000 | 2025-07-17) - capital gate passed by construction, not a margin event",VER?,AGE?,SCL?,ACC?,,2016,565,PRIVATELY_HELD,SERIES_D | 80000000 | 2025-07-17,188000000,"Los Angeles, California, Los Angeles, California, United States, North America",software development,c1-fresh-pull-56,
kenect.com,Kenect,UNSCORED,"UNSCOREABLE - ceiling 35, below the Tier 2 line",0.0,35.0,EST;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,"funding stage only (VENTURE_ROUND | 2021-04-20) - capital gate passed by construction, not a margin event",VER?,AGE?,SCL?,ACC?,,2017,235,PRIVATELY_HELD,VENTURE_ROUND | 2021-04-20,1305004,"Pleasant Grove, Utah, 1221 South Valley Grove Way, Suite 400, Pleasant Grove, Utah, United States, North America",software development,c1-fresh-pull-56,
kyriba.com,Kyriba,UNSCORED,"UNSCOREABLE - ceiling 15, below the Tier 2 line",15.0,15.0,EST;MRG;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR●,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,NOT RETRIEVED,VER?,AGE?,SCL?,ACC?,,2005,1357,PRIVATELY_HELD,,,"San Diego, California, 9620 Towne Centre Drive, Suite 250, San Diego, California, United States, North America",software development,c1-fresh-pull-56,
mambu.com,Mambu,UNSCORED,"UNSCOREABLE - ceiling 35, below the Tier 2 line",0.0,35.0,EST;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,"funding stage only (SERIES_E | 265401174 | 2021-12-09) - capital gate passed by construction, not a margin event",VER?,AGE?,SCL?,ACC?,,2011,769,PRIVATELY_HELD,SERIES_E | 265401174 | 2021-12-09,448322143,"Amsterdam, Amsterdam, Netherlands, Europe",software development,c1-fresh-pull-56,
medius.com,Medius,UNSCORED,"UNSCOREABLE - ceiling 35, below the Tier 2 line",20.0,35.0,EST;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG●,Origami firmographics: PRIVATE_EQUITY_ROUND | 2022-03-16,VER?,AGE?,SCL?,ACC?,,2001,851,PRIVATELY_HELD,PRIVATE_EQUITY_ROUND | 2022-03-16,3686533,"Linköping, Platensgatan 8, Linköping, Sweden, Europe",software development,c1-fresh-pull-56,
meilleurtaux.com,Meilleurtaux,3,CANNOT REACH TIER 1 - ceiling 55,15.0,55.0,MRG,"B - estate measured, no qualifying sentence",EST○,w1 correction 2026-09-04 - 0926-origami-job-postings.csv Pull=P9 cost-test,2026-08-31,,,,,,HIR●,w1 correction 2026-09-04 - 0926-origami-job-postings.csv Pull=P9 cost-test,2026-08-31,MDB○,MongoDB enrichment: no evidence string,MRG?,NOT RETRIEVED,VER?,AGE?,SCL?,ACC?,,1999,1613,PE-owned,,series_unknown,France,,cost-test-9;w1-corrections,Full posting text committed (6848 chars). Zero of the 9 pinned terms. Posting dated 2026-08-31. Names BigQuery.
metropolis.io,Metropolis Technologies,1,FIRM - all four signals retrieved,60.0,75.0,,"A - named pain, sentence on file",EST●,"job-postings pull, 44 domains, 12-month window","qualifying posting 2026-09-03; 5 pain postings in 12m of 5 all-time, across 16 requisitions","will architect, scale, and maintain highly resilient environments across multiple products while driving infrastructure modernization and legacy system integrations. The ideal candidate combines deep technical mastery of modern cloud-native systems with",5,5,22,16,HIR●,"job-postings pull, 44 domains, recency-windowed","qualifying posting 2026-09-03; 5 pain postings in 12m of 5 all-time, across 16 requisitions",MDB○,MongoDB enrichment: no evidence string,MRG●,"funding stage only (SERIES_D) - capital gate passed by construction, not a margin event",VER○,AGE●,SCL●,ACC●,B — post-acquisition integration,2017,1725,,SERIES_D,3528000000,,,roster-31,"partial estate signal; margin/sponsor trigger confirmed; **`EST?` — the `EST◐` mark was dropped 2026-09-03: 0 posting rows, blank `Database Technology Mentions`, source untraceable. 12.5 pts removed. In the 44-domain pull.** · **re-measured by the 04-09 pull**"
mews.com,Mews,UNSCORED,"UNSCOREABLE - ceiling 35, below the Tier 2 line",0.0,35.0,EST;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,"funding stage only (SERIES_D | 300000000 | 2026-01-22) - capital gate passed by construction, not a margin event",VER?,AGE?,SCL?,ACC?,,2012,1519,PRIVATELY_HELD,SERIES_D | 300000000 | 2026-01-22,817281931,"Amsterdam, North Holland, Singel 542, TNW City, Amsterdam, North Holland, Netherlands, Europe",software development,c1-fresh-pull-56,
minted.com,Minted,3,PROVISIONAL - ceiling 60,0.0,60.0,MDB,"B - estate measured, no qualifying sentence",EST⊘,w1 correction 2026-09-04 - 0926-est-hir-results-44-dated.csv,12 months to 2026-09-03,,0,5,16,14,HIR○,"job-postings pull, 44 domains, recency-windowed",no qualifying posting; 16 postings / 14 requisitions searched,MDB?,NOT RETRIEVED,MRG?,"funding stage only (SERIES_E) - capital gate passed by construction, not a margin event",VER?,AGE?,SCL?,ACC?,,2007,568,,SERIES_E,297100000,"San Francisco, California",MARKETPLACE,consolidation-19;w1-corrections,Dated re-run retired the match: pain language predates the 12-month window
mollie.com,Mollie,3,CANNOT REACH TIER 1 - ceiling 55,15.0,55.0,MRG,"B - estate measured, no qualifying sentence",EST○,w1 correction 2026-09-04 - 0926-origami-job-postings.csv Pull=P9 cost-test,2026-08-31,,,,,,HIR●,w1 correction 2026-09-04 - 0926-origami-job-postings.csv Pull=P9 cost-test,2026-08-31,MDB○,MongoDB enrichment: no evidence string,MRG?,NOT RETRIEVED,VER?,AGE?,SCL?,ACC?,,2004,1165,PE-owned,,$909.5M series_c,Netherlands,,cost-test-9;w1-corrections,Full posting text committed (4870 chars). Zero of the 9 pinned terms. Posting dated 2026-08-31 = 4 days old so HIR is live.
mykaarma.com,myKaarma,UNSCORED,"UNSCOREABLE - ceiling 35, below the Tier 2 line",0.0,35.0,EST;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,"funding stage only (SECONDARY_MARKET | 2026-01-14) - capital gate passed by construction, not a margin event",VER?,AGE?,SCL?,ACC?,,2012,261,PRIVATELY_HELD,SECONDARY_MARKET | 2026-01-14,15000000,"Long Beach, California, 211 E Ocean Blvd, Suite 550, Long Beach, California, United States, North America",software development,c1-fresh-pull-56,
mylighthouse.com,Lighthouse,3,FIRM - all four signals retrieved,0.0,75.0,,"B - estate measured, no qualifying sentence",EST○,"roster hand-read, pre-pull",2026-09-02..2026-09-02 (n=4 postings in repo),,,,,,HIR○,"roster hand-read, pre-pull",2026-09-02..2026-09-02 (n=4 postings in repo),MDB?,MongoDB enrichment: no evidence string,MRG○,"funding stage only (series_c) - capital gate passed by construction, not a margin event",VER●,AGE●,SCL●,ACC●,"D — watchlist, no trigger",2012,1269,VC/private,series_c,470000000,"Denver, United States",Hospitality Technology,roster-31,firmographics only — no trigger; **MongoDB UNKNOWN — detector returned no primary database**
netradyne.com,Netradyne,2,FIRM - all four signals retrieved,40.0,75.0,,"B - estate measured, no qualifying sentence",EST⊘,"job-postings pull, 44 domains, 12-month window",no qualifying posting; 8 postings / 6 requisitions searched,,0,1,8,6,HIR●,"job-postings pull, 44 domains, recency-windowed",no qualifying posting; 8 postings / 6 requisitions searched,MDB●,MongoDB enrichment: product stack,MRG◐,"funding stage only (SERIES_D) - capital gate passed by construction, not a margin event",VER◐,AGE●,SCL●,ACC●,"D — watchlist, no trigger",2015,1142,,SERIES_D,352520546,"San Diego, California",,roster-31,"firmographics only — no trigger; **legacy relational co-present**; MongoDB confirmed — **direction unverified, no requisition on file** · **`EST⊘` stale — estate language exists but predates the 12-month window**"
nexhealth.com,NexHealth,2,FIRM - all four signals retrieved,37.5,75.0,,"B - estate measured, no qualifying sentence",EST◐,"roster hand-read, pre-pull",2026-08-11..2026-08-11 (n=1 postings in repo),,,,,,HIR●,"roster hand-read, pre-pull",2026-08-11..2026-08-11 (n=1 postings in repo),MDB○,MongoDB enrichment: no evidence string,MRG◐,"funding stage only (series_c) - capital gate passed by construction, not a margin event",VER◐,AGE?,SCL✕,ACC●,A — hiring trigger,,215,,series_c,177200000,,,roster-31,partial estate signal; live infra hiring; `AGE?` Founded Year blank
oeconnection.com,OEC,3,CANNOT REACH TIER 1 - ceiling 55,30.0,55.0,MRG,"B - estate measured, no qualifying sentence",EST○,w1 correction 2026-09-04 - 0926-origami-job-postings.csv Pull=P9 cost-test,2026-08-31,,,,,,HIR●,w1 correction 2026-09-04 - 0926-origami-job-postings.csv Pull=P9 cost-test,2026-08-31,MDB●,MongoDB enrichment: job postings only,MRG?,NOT RETRIEVED,VER?,AGE?,SCL?,ACC?,,2000,1879,PE-owned,,PE-owned,US,,cost-test-9;w1-corrections,Full posting text committed (4398 chars). Zero of the 9 pinned terms. Posting dated 2026-08-31. MDB● already on file.
offerup.com,OfferUp,2,FIRM - all four signals retrieved,40.0,75.0,,"A - named pain, sentence on file",EST●,"job-postings pull, 44 domains, 12-month window","qualifying posting 2026-08-11; 3 pain postings in 12m of 3 all-time, across 2 requisitions","diate CVEs, manage secrets and access controls (Cloudflare/ZTNA, Okta, SSO, Workload Identity Federation), and optimize cloud cost. - **Multiply the team** — enable AI/ML developer tooling (Amazon Bedrock, Claude, AI-assisted workflows), lead desig",3,3,3,2,HIR●,"job-postings pull, 44 domains, recency-windowed","qualifying posting 2026-08-11; 3 pain postings in 12m of 3 all-time, across 2 requisitions",MDB?,job-posting database mentions: Redis,MRG?,"funding stage only (VENTURE_ROUND) - capital gate passed by construction, not a margin event",VER?,AGE?,SCL?,ACC?,,2011,337,PRIVATELY_HELD,VENTURE_ROUND,380985067,"1745 114th Ave SE, Bellevue, Washington, United States, North America",MARKETPLACE,consolidation-19,
openwaygroup.com,OpenWay,UNSCORED,"UNSCOREABLE - ceiling 15, below the Tier 2 line",0.0,15.0,EST;MRG;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,NOT RETRIEVED,VER?,AGE?,SCL?,ACC?,,1995,476,PRIVATELY_HELD,,,"Mont-saint-guibert, Axisparc Business Centre, Rue Emile Francqui, 3, Mont-saint-guibert, Belgium, Europe",software development,c1-fresh-pull-56,
order.co,Order.co,UNSCORED,"UNSCOREABLE - ceiling 35, below the Tier 2 line",0.0,35.0,EST;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,"funding stage only (VENTURE_ROUND | 7069529 | 2026-03-16) - capital gate passed by construction, not a margin event",VER?,AGE?,SCL?,ACC?,,2016,255,PRIVATELY_HELD,VENTURE_ROUND | 7069529 | 2026-03-16,51769529,"New York, New York, 11 E 26th St, New York, New York, United States, North America",software development,c1-fresh-pull-56,
origamirisk.com,Origami Risk,3,CANNOT REACH TIER 1 - ceiling 55,15.0,55.0,MRG,"B - estate measured, no qualifying sentence",EST○,w1 correction 2026-09-04 - 0926-origami-job-postings.csv Pull=P9 cost-test,2026-09-02,,,,,,HIR●,w1 correction 2026-09-04 - 0926-origami-job-postings.csv Pull=P9 cost-test,2026-09-02,MDB○,MongoDB enrichment: no evidence string,MRG?,NOT RETRIEVED,VER?,AGE?,SCL?,ACC?,,2009,991,PE-owned,,PE-owned,US,,cost-test-9;w1-corrections,Full posting text committed (7011 chars). Zero of the 9 pinned terms. Posting dated 2026-09-02.
ottimate.com,Ottimate,UNSCORED,"UNSCOREABLE - ceiling 15, below the Tier 2 line",0.0,15.0,EST;MRG;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,NOT RETRIEVED,VER?,AGE?,SCL?,ACC?,,2014,266,PRIVATELY_HELD,,,"San Francisco, California, San Francisco, California, United States, North America",software development,c1-fresh-pull-56,
owner.app,OWNER,UNSCORED,"UNSCOREABLE - ceiling 35, below the Tier 2 line",0.0,35.0,EST;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,"funding stage only (FUNDING_ROUND | 2024-12-19) - capital gate passed by construction, not a margin event",VER?,AGE?,SCL?,ACC?,,2018,263,PRIVATELY_HELD,FUNDING_ROUND | 2024-12-19,,"Emmen, Drenthe, Raadhuisplein 82, Emmen, Drenthe, Netherlands, Europe",software development,c1-fresh-pull-56,
owner.com,Owner.com,2,FIRM - all four signals retrieved,50.0,75.0,,"B - estate measured, no qualifying sentence",EST●,"roster hand-read, pre-pull",2026-07-31..2026-07-31 (n=1 postings in repo),,,,,,HIR●,"roster hand-read, pre-pull",2026-07-31..2026-07-31 (n=1 postings in repo),MDB⊘,MongoDB enrichment: product stack,MRG◐,"funding stage only (series_b) - capital gate passed by construction, not a margin event",VER●,AGE●,SCL●,ACC●,A — hiring trigger,,445,,series_b,185700000,,,roster-31,"**MongoDB present**; named estate pain in an open req; live infra hiring; **`MDB⊘` — migration *away* from MongoDB named in its own requisition, co-sell weight zeroed (rule 5)**"
pando.ai,Pando,UNSCORED,"UNSCOREABLE - ceiling 15, below the Tier 2 line",0.0,15.0,EST;MRG;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,NOT RETRIEVED,VER?,AGE?,SCL?,ACC?,,2018,214,PRIVATELY_HELD,,,"Chicago, Illinois, 220 N, Green St, Chicago, Illinois, United States, North America",software development,c1-fresh-pull-56,
passportinc.com,Passport,UNSCORED,"UNSCOREABLE - ceiling 35, below the Tier 2 line",0.0,35.0,EST;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,"funding stage only (VENTURE_ROUND | 90000000 | 2025-08-25) - capital gate passed by construction, not a margin event",VER?,AGE?,SCL?,ACC?,,2010,417,PRIVATELY_HELD,VENTURE_ROUND | 90000000 | 2025-08-25,213537500,"Charlotte, North Carolina, 5960 Fairview Rd, Suite 250, Charlotte, North Carolina, United States, North America",software development,c1-fresh-pull-56,
pcmicorp.com,PCMI,UNSCORED,"UNSCOREABLE - ceiling 35, below the Tier 2 line",20.0,35.0,EST;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG●,Origami firmographics: PRIVATE_EQUITY_ROUND | 2025-03-17,VER?,AGE?,SCL?,ACC?,,2012,302,PRIVATELY_HELD,PRIVATE_EQUITY_ROUND | 2025-03-17,0,"Park Ridge, Illinois, 1030 W Higgins Rd, Suite 305, Park Ridge, Illinois, United States, North America",software development,c1-fresh-pull-56,
peopleperhour.com,PeoplePerHour,3,PROVISIONAL - ceiling 60,0.0,60.0,MDB,"B - estate measured, no qualifying sentence",EST?,"job-postings pull, 44 domains, 12-month window",no qualifying posting; 0 postings / 0 requisitions searched,,0,0,0,0,HIR?,"job-postings pull, 44 domains, recency-windowed",no qualifying posting; 0 postings / 0 requisitions searched,MDB?,NOT RETRIEVED,MRG?,"funding stage only (VENTURE_ROUND) - capital gate passed by construction, not a margin event",VER?,AGE?,SCL?,ACC?,,2007,4020,PRIVATELY_HELD,VENTURE_ROUND,10525066,"16 Great Chapel Street, London, England, United Kingdom, Europe",MARKETPLACE,consolidation-19,
podium.com,Podium,UNSCORED,"UNSCOREABLE - ceiling 15, below the Tier 2 line",0.0,15.0,EST;MRG;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,NOT RETRIEVED,VER?,AGE?,SCL?,ACC?,,2014,1552,PRIVATELY_HELD,,,"Lehi, Utah, 1650 W Digital Dr, Lehi, Utah, United States, North America",software development,c1-fresh-pull-56,
porteiro.com,PORTEIRO,UNSCORED,"UNSCOREABLE - ceiling 15, below the Tier 2 line",0.0,15.0,EST;MRG;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,NOT RETRIEVED,VER?,AGE?,SCL?,ACC?,,2015,417,PRIVATELY_HELD,,,"Los Angeles, California, Los Angeles, California, United States, North America",software development,c1-fresh-pull-56,
promise-pay.com,Promise,UNSCORED,"UNSCOREABLE - ceiling 35, below the Tier 2 line",0.0,35.0,EST;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,"funding stage only (SERIES_B | 25000000 | 2022-02-24) - capital gate passed by construction, not a margin event",VER?,AGE?,SCL?,ACC?,,2017,238,PRIVATELY_HELD,SERIES_B | 25000000 | 2022-02-24,48120000,"Oakland, California, Oakland, California, United States, North America",software development,c1-fresh-pull-56,
